TINDAK SEQUENCE NUMBER,NEGERI,TAHUN,Jenis Undi,Kod Parlimen,Nama Parlimen,Kod DUN,Nama DUN,KOD DM,Nama Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi,Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),PR,PR_CALON,PR_UNDI,BN,BN_CALON,BN_UNDI,LAIN1,LAIN_CALON,LAIN1_UNDI,Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
91,KEDAH,2008,UNDI BIASA,005,JERLUN,03,KOTA SIPUTEH,005/03/10,BATU 4 JALAN SANGLANG,PERSATUAN PELADANG (MADA) BATU 4 SANGLANG,2,373,PAS,USTAZ IDRIS AHMAD,177,UMNO,DATO' MUKHRIZ MAHATHIR,191,,,,368,5,0
92,KEDAH,2008,UNDI BIASA,005,JERLUN,03,KOTA SIPUTEH,005/03/10,BATU 4 JALAN SANGLANG,PERSATUAN PELADANG (MADA) BATU 4 SANGLANG,3,328,PAS,USTAZ IDRIS AHMAD,152,UMNO,DATO' MUKHRIZ MAHATHIR,173,,,,325,3,0
93,KEDAH,2008,UNDI BIASA,005,JERLUN,03,KOTA SIPUTEH,005/03/11,MANGGOL,SEKOLAH KEBANGSAAN MANGGOL BONGOR MEGAT DEWA,1,319,PAS,USTAZ IDRIS AHMAD,181,UMNO,DATO' MUKHRIZ MAHATHIR,136,,,,317,2,0
94,KEDAH,2008,UNDI BIASA,005,JERLUN,03,KOTA SIPUTEH,005/03/11,MANGGOL,SEKOLAH KEBANGSAAN MANGGOL BONGOR MEGAT DEWA,2,383,PAS,USTAZ IDRIS AHMAD,210,UMNO,DATO' MUKHRIZ MAHATHIR,170,,,,380,2,1
95,KEDAH,2008,UNDI BIASA,005,JERLUN,03,KOTA SIPUTEH,005/03/11,MANGGOL,SEKOLAH KEBANGSAAN MANGGOL BONGOR MEGAT DEWA,3,348,PAS,USTAZ IDRIS AHMAD,195,UMNO,DATO' MUKHRIZ MAHATHIR,153,,,,348,0,0
96,KEDAH,2008,UNDI BIASA,005,JERLUN,03,KOTA SIPUTEH,005/03/12,TOK KEPAK,SEKOLAH KEBANGSAAN TOK KEPAK,1,304,PAS,USTAZ IDRIS AHMAD,126,UMNO,DATO' MUKHRIZ MAHATHIR,168,,,,294,10,0
97,KEDAH,2008,UNDI BIASA,005,JERLUN,03,KOTA SIPUTEH,005/03/12,TOK KEPAK,SEKOLAH KEBANGSAAN TOK KEPAK,2,486,PAS,USTAZ IDRIS AHMAD,179,UMNO,DATO' MUKHRIZ MAHATHIR,305,,,,484,2,0
98,KEDAH,2008,UNDI BIASA,005,JERLUN,03,KOTA SIPUTEH,005/03/13,SUNGAI KOROK,"SEKOLAH KEBANGSAAN HJ WAN YAHAYA, BATU 6 SANGLANG",1,288,PAS,USTAZ IDRIS AHMAD,128,UMNO,DATO' MUKHRIZ MAHATHIR,152,,,,280,8,0
99,KEDAH,2008,UNDI BIASA,005,JERLUN,03,KOTA SIPUTEH,005/03/13,SUNGAI KOROK,"SEKOLAH KEBANGSAAN HJ WAN YAHAYA, BATU 6 SANGLANG",2,484,PAS,USTAZ IDRIS AHMAD,230,UMNO,DATO' MUKHRIZ MAHATHIR,250,,,,480,4,0
100,KEDAH,2008,UNDI BIASA,005,JERLUN,03,KOTA SIPUTEH,005/03/14,BATAS BENGKOK,SEKOLAH KEBANGSAAN HJ WAN YAHAYA BATU 6 JALAN SANGLANG,3,417,PAS,USTAZ IDRIS AHMAD,183,UMNO,DATO' MUKHRIZ MAHATHIR,213,,,,396,21,0
101,KEDAH,2008,UNDI BIASA,005,JERLUN,03,KOTA SIPUTEH,005/03/14,BATAS BENGKOK,SEKOLAH KEBANGSAAN HJ WAN YAHAYA BATU 6 JALAN SANGLANG,4,469,PAS,USTAZ IDRIS AHMAD,220,UMNO,DATO' MUKHRIZ MAHATHIR,246,,,,466,3,0
102,KEDAH,2008,UNDI BIASA,005,JERLUN,03,KOTA SIPUTEH,005/03/15,KAMPUNG SANGLANG,SEKOLAH KEBANGSAAN SANGLANG,1,289,PAS,USTAZ IDRIS AHMAD,75,UMNO,DATO' MUKHRIZ MAHATHIR,200,,,,275,14,0
103,KEDAH,2008,UNDI BIASA,005,JERLUN,03,KOTA SIPUTEH,005/03/15,KAMPUNG SANGLANG,SEKOLAH KEBANGSAAN SANGLANG,2,437,PAS,USTAZ IDRIS AHMAD,129,UMNO,DATO' MUKHRIZ MAHATHIR,303,,,,432,5,0
104,KEDAH,2008,UNDI BIASA,005,JERLUN,03,KOTA SIPUTEH,005/03/15,KAMPUNG SANGLANG,SEKOLAH KEBANGSAAN SANGLANG,3,364,PAS,USTAZ IDRIS AHMAD,114,UMNO,DATO' MUKHRIZ MAHATHIR,246,,,,360,4,0
105,KEDAH,2008,UNDI BIASA,005,JERLUN,03,KOTA SIPUTEH,005/03/16,KERPAN,"SEKOLAH JENIS KEBANGSAAN (CHINA) LAM MIN, KERPAN",1,494,PAS,USTAZ IDRIS AHMAD,120,UMNO,DATO' MUKHRIZ MAHATHIR,363,,,,483,11,0
106,KEDAH,2008,UNDI BIASA,005,JERLUN,03,KOTA SIPUTEH,005/03/17,KUALA SANGLANG,SEKOLAH MENENGAH KEBANGSAAN SANGLANG,1,300,PAS,USTAZ IDRIS AHMAD,72,UMNO,DATO' MUKHRIZ MAHATHIR,217,,,,289,11,0
107,KEDAH,2008,UNDI BIASA,005,JERLUN,03,KOTA SIPUTEH,005/03/17,KUALA SANGLANG,SEKOLAH MENENGAH KEBANGSAAN SANGLANG,2,520,PAS,USTAZ IDRIS AHMAD,190,UMNO,DATO' MUKHRIZ MAHATHIR,321,,,,511,9,0
108,KEDAH,2008,UNDI BIASA,005,JERLUN,04,AYER HITAM,005/04/01,PADANG SERA,SEKOLAH KEBANGSAAN SIPUTEH,1,471,PAS,USTAZ IDRIS AHMAD,175,UMNO,DATO' MUKHRIZ MAHATHIR,288,,,,463,8,0
109,KEDAH,2008,UNDI BIASA,005,JERLUN,04,AYER HITAM,005/04/02,KAMPUNG MELELE,SEKOLAH MENENGAH AGAMA NADHATUL HASANAH MELELE PADANG SERA,1,275,PAS,USTAZ IDRIS AHMAD,66,UMNO,DATO' MUKHRIZ MAHATHIR,200,,,,266,9,0
110,KEDAH,2008,UNDI BIASA,005,JERLUN,04,AYER HITAM,005/04/02,KAMPUNG MELELE,SEKOLAH MENENGAH AGAMA NADHATUL HASANAH MELELE PADANG SERA,2,512,PAS,USTAZ IDRIS AHMAD,102,UMNO,DATO' MUKHRIZ MAHATHIR,397,,,,499,13,0
111,KEDAH,2008,UNDI BIASA,005,JERLUN,04,AYER HITAM,005/04/02,KAMPUNG MELELE,SEKOLAH MENENGAH AGAMA NADHATUL HASANAH MELELE PADANG SERA,3,500,PAS,USTAZ IDRIS AHMAD,122,UMNO,DATO' MUKHRIZ MAHATHIR,371,,,,493,7,0
112,KEDAH,2008,UNDI BIASA,005,JERLUN,04,AYER HITAM,005/04/02,KAMPUNG MELELE,SEKOLAH MENENGAH AGAMA NADHATUL HASANAH MELELE PADANG SERA,4,425,PAS,USTAZ IDRIS AHMAD,98,UMNO,DATO' MUKHRIZ MAHATHIR,324,,,,422,3,0
113,KEDAH,2008,UNDI BIASA,005,JERLUN,04,AYER HITAM,005/04/03,KAMPUNG PUTAT,SEKOLAH KEBANGSAAN SIPUTEH,2,288,PAS,USTAZ IDRIS AHMAD,77,UMNO,DATO' MUKHRIZ MAHATHIR,203,,,,280,8,0
114,KEDAH,2008,UNDI BIASA,005,JERLUN,04,AYER HITAM,005/04/03,KAMPUNG PUTAT,SEKOLAH KEBANGSAAN SIPUTEH,3,444,PAS,USTAZ IDRIS AHMAD,113,UMNO,DATO' MUKHRIZ MAHATHIR,320,,,,433,11,0
115,KEDAH,2008,UNDI BIASA,005,JERLUN,04,AYER HITAM,005/04/03,KAMPUNG PUTAT,SEKOLAH KEBANGSAAN SIPUTEH,4,402,PAS,USTAZ IDRIS AHMAD,122,UMNO,DATO' MUKHRIZ MAHATHIR,278,,,,400,2,0
116,KEDAH,2008,UNDI BIASA,005,JERLUN,04,AYER HITAM,005/04/04,KAMPUNG IMAM,SEKOLAH MENENGAH KEBANGSAAN MEGAT DEWA,1,292,PAS,USTAZ IDRIS AHMAD,89,UMNO,DATO' MUKHRIZ MAHATHIR,194,,,,283,9,0
117,KEDAH,2008,UNDI BIASA,005,JERLUN,04,AYER HITAM,005/04/04,KAMPUNG IMAM,SEKOLAH MENENGAH KEBANGSAAN MEGAT DEWA,2,339,PAS,USTAZ IDRIS AHMAD,123,UMNO,DATO' MUKHRIZ MAHATHIR,213,,,,336,3,0
118,KEDAH,2008,UNDI BIASA,005,JERLUN,04,AYER HITAM,005/04/04,KAMPUNG IMAM,SEKOLAH MENENGAH KEBANGSAAN MEGAT DEWA,3,306,PAS,USTAZ IDRIS AHMAD,110,UMNO,DATO' MUKHRIZ MAHATHIR,195,,,,305,1,0
119,KEDAH,2008,UNDI BIASA,005,JERLUN,04,AYER HITAM,005/04/05,TELAGA BATU,"SEKOLAH MENENGAH KEBANGSAAN TUNKU SERI INDERA PUTERA, AIR HITAM",1,299,PAS,USTAZ IDRIS AHMAD,180,UMNO,DATO' MUKHRIZ MAHATHIR,110,,,,290,9,0
120,KEDAH,2008,UNDI BIASA,005,JERLUN,04,AYER HITAM,005/04/05,TELAGA BATU,"SEKOLAH MENENGAH KEBANGSAAN TUNKU SERI INDERA PUTERA, AIR HITAM",2,391,PAS,USTAZ IDRIS AHMAD,245,UMNO,DATO' MUKHRIZ MAHATHIR,140,,,,385,6,0
121,KEDAH,2008,UNDI BIASA,005,JERLUN,04,AYER HITAM,005/04/05,TELAGA BATU,"SEKOLAH MENENGAH KEBANGSAAN TUNKU SERI INDERA PUTERA, AIR HITAM",3,341,PAS,USTAZ IDRIS AHMAD,220,UMNO,DATO' MUKHRIZ MAHATHIR,119,,,,339,2,0
122,KEDAH,2008,UNDI BIASA,005,JERLUN,04,AYER HITAM,005/04/06,PADANG PERAHU,SEKOLAH KEBANGSAAN PADANG PERAHU,1,345,PAS,USTAZ IDRIS AHMAD,215,UMNO,DATO' MUKHRIZ MAHATHIR,127,,,,342,3,0
123,KEDAH,2008,UNDI BIASA,005,JERLUN,04,AYER HITAM,005/04/06,PADANG PERAHU,SEKOLAH KEBANGSAAN PADANG PERAHU,2,320,PAS,USTAZ IDRIS AHMAD,234,UMNO,DATO' MUKHRIZ MAHATHIR,84,,,,318,2,0
124,KEDAH,2008,UNDI BIASA,005,JERLUN,04,AYER HITAM,005/04/06,PADANG PERAHU,SEKOLAH KEBANGSAAN PADANG PERAHU,3,287,PAS,USTAZ IDRIS AHMAD,193,UMNO,DATO' MUKHRIZ MAHATHIR,91,,,,284,3,0
125,KEDAH,2008,UNDI BIASA,005,JERLUN,04,AYER HITAM,005/04/07,KAMPUNG PIDA,"SEKOLAH
KEBANGSAAN PIDA TIGA TUNJANG",1,304,PAS,USTAZ IDRIS AHMAD,134,UMNO,DATO' MUKHRIZ MAHATHIR,159,,,,293,11,0
126,KEDAH,2008,UNDI BIASA,005,JERLUN,04,AYER HITAM,005/04/07,KAMPUNG PIDA,"SEKOLAH
KEBANGSAAN PIDA TIGA TUNJANG",2,475,PAS,USTAZ IDRIS AHMAD,206,UMNO,DATO' MUKHRIZ MAHATHIR,262,,,,468,7,0
127,KEDAH,2008,UNDI BIASA,005,JERLUN,04,AYER HITAM,005/04/07,KAMPUNG PIDA,"SEKOLAH
KEBANGSAAN PIDA TIGA TUNJANG",3,421,PAS,USTAZ IDRIS AHMAD,228,UMNO,DATO' MUKHRIZ MAHATHIR,192,,,,420,1,0
128,KEDAH,2008,UNDI BIASA,005,JERLUN,04,AYER HITAM,005/04/08,KAMPUNG GURINDAM,"SEKOLAH
KEBANGSAAN PULAU CHAPA JITRA",1,294,PAS,USTAZ IDRIS AHMAD,169,UMNO,DATO' MUKHRIZ MAHATHIR,116,,,,285,6,3
129,KEDAH,2008,UNDI BIASA,005,JERLUN,04,AYER HITAM,005/04/08,KAMPUNG GURINDAM,"SEKOLAH
KEBANGSAAN PULAU CHAPA JITRA",2,395,PAS,USTAZ IDRIS AHMAD,194,UMNO,DATO' MUKHRIZ MAHATHIR,194,,,,388,7,0
130,KEDAH,2008,UNDI BIASA,005,JERLUN,04,AYER HITAM,005/04/08,KAMPUNG GURINDAM,"SEKOLAH
KEBANGSAAN PULAU CHAPA JITRA",3,351,PAS,USTAZ IDRIS AHMAD,205,UMNO,DATO' MUKHRIZ MAHATHIR,145,,,,350,1,0
131,KEDAH,2008,UNDI BIASA,005,JERLUN,04,AYER HITAM,005/04/09,ALOR BIAK,"SEKOLAH JENIS 
KEBANGSAAN (CHINA) YUH MIN",1,280,PAS,USTAZ IDRIS AHMAD,151,UMNO,DATO' MUKHRIZ MAHATHIR,107,,,,258,22,0
132,KEDAH,2008,UNDI BIASA,005,JERLUN,04,AYER HITAM,005/04/09,ALOR BIAK,"SEKOLAH JENIS 
KEBANGSAAN (CHINA) YUH MIN",2,551,PAS,USTAZ IDRIS AHMAD,314,UMNO,DATO' MUKHRIZ MAHATHIR,231,,,,545,6,0
133,KEDAH,2008,UNDI BIASA,005,JERLUN,04,AYER HITAM,005/04/09,ALOR BIAK,"SEKOLAH JENIS 
KEBANGSAAN (CHINA) YUH MIN",3,471,PAS,USTAZ IDRIS AHMAD,253,UMNO,DATO' MUKHRIZ MAHATHIR,214,,,,467,4,0
134,KEDAH,2008,UNDI BIASA,005,JERLUN,04,AYER HITAM,005/04/10,KUBANG SEPAT,"SEKOLAH
KEBANGSAAN SRI MUDA ALOR BIAK",1,310,PAS,USTAZ IDRIS AHMAD,175,UMNO,DATO' MUKHRIZ MAHATHIR,128,,,,303,7,0
135,KEDAH,2008,UNDI BIASA,005,JERLUN,04,AYER HITAM,005/04/10,KUBANG SEPAT,"SEKOLAH
KEBANGSAAN SRI MUDA ALOR BIAK",2,478,PAS,USTAZ IDRIS AHMAD,272,UMNO,DATO' MUKHRIZ MAHATHIR,203,,,,475,3,0
136,KEDAH,2008,UNDI BIASA,005,JERLUN,04,AYER HITAM,005/04/10,KUBANG SEPAT,"SEKOLAH
KEBANGSAAN SRI MUDA ALOR BIAK",3,424,PAS,USTAZ IDRIS AHMAD,270,UMNO,DATO' MUKHRIZ MAHATHIR,152,,,,422,2,0
137,KEDAH,2008,UNDI BIASA,005,JERLUN,04,AYER HITAM,005/04/11,LANA BULU,SEKOLAH KEBANGSAAN DATO' SRI SYED AHMAD LANA BULU,1,292,PAS,USTAZ IDRIS AHMAD,125,UMNO,DATO' MUKHRIZ MAHATHIR,160,,,,285,7,0
138,KEDAH,2008,UNDI BIASA,005,JERLUN,04,AYER HITAM,005/04/11,LANA BULU,SEKOLAH KEBANGSAAN DATO' SRI SYED AHMAD LANA BULU,2,470,PAS,USTAZ IDRIS AHMAD,209,UMNO,DATO' MUKHRIZ MAHATHIR,257,,,,466,4,0
139,KEDAH,2008,UNDI BIASA,005,JERLUN,04,AYER HITAM,005/04/11,LANA BULU,SEKOLAH KEBANGSAAN DATO' SRI SYED AHMAD LANA BULU,3,408,PAS,USTAZ IDRIS AHMAD,179,UMNO,DATO' MUKHRIZ MAHATHIR,229,,,,408,0,0
140,KEDAH,2008,UNDI BIASA,005,JERLUN,04,AYER HITAM,005/04/11,LANA BULU,SEKOLAH KEBANGSAAN DATO' SRI SYED AHMAD LANA BULU,4,392,PAS,USTAZ IDRIS AHMAD,203,UMNO,DATO' MUKHRIZ MAHATHIR,187,,,,390,2,0
141,KEDAH,2008,UNDI BIASA,005,JERLUN,04,AYER HITAM,005/04/12,PERMATANG PAKU,SEKOLAH KEBANGSAAN MATANG PAKU AYER HITAM,1,302,PAS,USTAZ IDRIS AHMAD,206,UMNO,DATO' MUKHRIZ MAHATHIR,84,,,,290,12,0
142,KEDAH,2008,UNDI BIASA,005,JERLUN,04,AYER HITAM,005/04/12,PERMATANG PAKU,SEKOLAH KEBANGSAAN MATANG PAKU AYER HITAM,2,562,PAS,USTAZ IDRIS AHMAD,354,UMNO,DATO' MUKHRIZ MAHATHIR,199,,,,553,8,1
143,KEDAH,2008,UNDI BIASA,005,JERLUN,04,AYER HITAM,005/04/12,PERMATANG PAKU,SEKOLAH KEBANGSAAN MATANG PAKU AYER HITAM,3,501,PAS,USTAZ IDRIS AHMAD,345,UMNO,DATO' MUKHRIZ MAHATHIR,151,,,,496,5,0
144,KEDAH,2008,UNDI BIASA,005,JERLUN,04,AYER HITAM,005/04/13,MATANG BONGLAI,SEKOLAH KEBANGSAAN TUNKU LAKSAMANA PERMATANG BONGLAI,1,300,PAS,USTAZ IDRIS AHMAD,193,UMNO,DATO' MUKHRIZ MAHATHIR,99,,,,292,8,0
145,KEDAH,2008,UNDI BIASA,005,JERLUN,04,AYER HITAM,005/04/13,MATANG BONGLAI,SEKOLAH KEBANGSAAN TUNKU LAKSAMANA PERMATANG BONGLAI,2,503,PAS,USTAZ IDRIS AHMAD,301,UMNO,DATO' MUKHRIZ MAHATHIR,193,,,,494,9,0
146,KEDAH,2008,UNDI BIASA,005,JERLUN,04,AYER HITAM,005/04/13,MATANG BONGLAI,SEKOLAH KEBANGSAAN TUNKU LAKSAMANA PERMATANG BONGLAI,3,468,PAS,USTAZ IDRIS AHMAD,338,UMNO,DATO' MUKHRIZ MAHATHIR,128,,,,466,2,0
147,KEDAH,2008,UNDI BIASA,005,JERLUN,04,AYER HITAM,005/04/14,JERLUN,SEKOLAH KEBANGSAAN JERLUN,1,281,PAS,USTAZ IDRIS AHMAD,115,UMNO,DATO' MUKHRIZ MAHATHIR,160,,,,275,6,0
148,KEDAH,2008,UNDI BIASA,005,JERLUN,04,AYER HITAM,005/04/14,JERLUN,SEKOLAH KEBANGSAAN JERLUN,2,566,PAS,USTAZ IDRIS AHMAD,225,UMNO,DATO' MUKHRIZ MAHATHIR,338,,,,563,3,0
149,KEDAH,2008,UNDI BIASA,005,JERLUN,04,AYER HITAM,005/04/14,JERLUN,SEKOLAH KEBANGSAAN JERLUN,3,487,PAS,USTAZ IDRIS AHMAD,239,UMNO,DATO' MUKHRIZ MAHATHIR,248,,,,487,0,0
150,KEDAH,2008,UNDI BIASA,005,JERLUN,04,AYER HITAM,005/04/15,LUBOK PINANG,"SEKOLAH
KEBANGSAAN AYER HITAM",1,279,PAS,USTAZ IDRIS AHMAD,101,UMNO,DATO' MUKHRIZ MAHATHIR,166,,,,267,12,0
151,KEDAH,2008,UNDI BIASA,005,JERLUN,04,AYER HITAM,005/04/15,LUBOK PINANG,"SEKOLAH
KEBANGSAAN AYER HITAM",2,511,PAS,USTAZ IDRIS AHMAD,190,UMNO,DATO' MUKHRIZ MAHATHIR,311,,,,501,10,0
152,KEDAH,2008,UNDI BIASA,005,JERLUN,04,AYER HITAM,005/04/15,LUBOK PINANG,"SEKOLAH
KEBANGSAAN AYER HITAM",3,457,PAS,USTAZ IDRIS AHMAD,212,UMNO,DATO' MUKHRIZ MAHATHIR,245,,,,457,0,0
153,KEDAH,2008,UNDI BIASA,005,JERLUN,04,AYER HITAM,005/04/16,PEKAN AYER HITAM,"SEKOLAH JENIS KEBANGSAAN (CHINA) YUH MIN, AYER HITAM",1,265,PAS,USTAZ IDRIS AHMAD,99,UMNO,DATO' MUKHRIZ MAHATHIR,157,,,,256,9,0
154,KEDAH,2008,UNDI BIASA,005,JERLUN,04,AYER HITAM,005/04/16,PEKAN AYER HITAM,"SEKOLAH JENIS KEBANGSAAN (CHINA) YUH MIN, AYER HITAM",2,530,PAS,USTAZ IDRIS AHMAD,197,UMNO,DATO' MUKHRIZ MAHATHIR,330,,,,527,3,0
155,KEDAH,2008,UNDI BIASA,005,JERLUN,04,AYER HITAM,005/04/16,PEKAN AYER HITAM,"SEKOLAH JENIS KEBANGSAAN (CHINA) YUH MIN, AYER HITAM",3,468,PAS,USTAZ IDRIS AHMAD,232,UMNO,DATO' MUKHRIZ MAHATHIR,232,,,,464,4,0
156,KEDAH,2008,UNDI BIASA,005,JERLUN,04,AYER HITAM,005/04/17,KAMPUNG GANDAI,SEKOLAH MENENGAH KEBANGSAAN AYER HITAM,1,297,PAS,USTAZ IDRIS AHMAD,193,UMNO,DATO' MUKHRIZ MAHATHIR,98,,,,291,6,0
157,KEDAH,2008,UNDI BIASA,005,JERLUN,04,AYER HITAM,005/04/17,KAMPUNG GANDAI,SEKOLAH MENENGAH KEBANGSAAN AYER HITAM,2,428,PAS,USTAZ IDRIS AHMAD,277,UMNO,DATO' MUKHRIZ MAHATHIR,145,,,,422,6,0
158,KEDAH,2008,UNDI BIASA,005,JERLUN,04,AYER HITAM,005/04/17,KAMPUNG GANDAI,SEKOLAH MENENGAH KEBANGSAAN AYER HITAM,3,356,PAS,USTAZ IDRIS AHMAD,228,UMNO,DATO' MUKHRIZ MAHATHIR,125,,,,353,3,0
159,KEDAH,2008,UNDI BIASA,005,JERLUN,04,AYER HITAM,005/04/18,KUBANG NIPAH,SEKOLAH JENIS KEBANGSAAN (CHINA) CHEE NAN JERLUN,1,293,PAS,USTAZ IDRIS AHMAD,96,UMNO,DATO' MUKHRIZ MAHATHIR,183,,,,279,14,0
160,KEDAH,2008,UNDI BIASA,005,JERLUN,04,AYER HITAM,005/04/18,KUBANG NIPAH,SEKOLAH JENIS KEBANGSAAN (CHINA) CHEE NAN JERLUN,2,334,PAS,USTAZ IDRIS AHMAD,117,UMNO,DATO' MUKHRIZ MAHATHIR,214,,,,331,3,0
161,KEDAH,2008,UNDI BIASA,005,JERLUN,04,AYER HITAM,005/04/18,KUBANG NIPAH,SEKOLAH JENIS KEBANGSAAN (CHINA) CHEE NAN JERLUN,3,285,PAS,USTAZ IDRIS AHMAD,106,UMNO,DATO' MUKHRIZ MAHATHIR,178,,,,284,1,0
162,KEDAH,2008,UNDI POS,006,KUBANG PASU,UNDI POS,UNDI POS,006/UNDI POS,UNDI POS,UNDI POS,0,1737,PAS,DR ISA ISMAIL,174,UMNO,DATO' MOHD JOHARI BIN BAHARUM,1352,,,,1526,86,125
163,KEDAH,2008,UNDI BIASA,006,KUBANG PASU,05,BUKIT KAYU HITAM,006/05/01,BUKIT KAYU HITAM,SEKOLAH KEBANGSAAN BANDAR BUKIT KAYU HITAM,1,285,PAS,DR ISA ISMAIL,50,UMNO,DATO' MOHD JOHARI BIN BAHARUM,219,,,,269,16,0
164,KEDAH,2008,UNDI BIASA,006,KUBANG PASU,05,BUKIT KAYU HITAM,006/05/01,BUKIT KAYU HITAM,SEKOLAH KEBANGSAAN BANDAR BUKIT KAYU HITAM,2,378,PAS,DR ISA ISMAIL,86,UMNO,DATO' MOHD JOHARI BIN BAHARUM,280,,,,366,12,0
165,KEDAH,2008,UNDI BIASA,006,KUBANG PASU,05,BUKIT KAYU HITAM,006/05/01,BUKIT KAYU HITAM,SEKOLAH KEBANGSAAN BANDAR BUKIT KAYU HITAM,3,383,PAS,DR ISA ISMAIL,116,UMNO,DATO' MOHD JOHARI BIN BAHARUM,262,,,,378,5,0
166,KEDAH,2008,UNDI BIASA,006,KUBANG PASU,05,BUKIT KAYU HITAM,006/05/02,FELDA BUKIT TANGGA,SEKOLAH KEBANGSAAN (FELDA) BUKIT TANGGA,1,334,PAS,DR ISA ISMAIL,40,UMNO,DATO' MOHD JOHARI BIN BAHARUM,280,,,,320,14,0
167,KEDAH,2008,UNDI BIASA,006,KUBANG PASU,05,BUKIT KAYU HITAM,006/05/02,FELDA BUKIT TANGGA,SEKOLAH KEBANGSAAN (FELDA) BUKIT TANGGA,2,393,PAS,DR ISA ISMAIL,70,UMNO,DATO' MOHD JOHARI BIN BAHARUM,308,,,,378,15,0
168,KEDAH,2008,UNDI BIASA,006,KUBANG PASU,05,BUKIT KAYU HITAM,006/05/02,FELDA BUKIT TANGGA,SEKOLAH KEBANGSAAN (FELDA) BUKIT TANGGA,3,359,PAS,DR ISA ISMAIL,89,UMNO,DATO' MOHD JOHARI BIN BAHARUM,264,,,,353,6,0
169,KEDAH,2008,UNDI BIASA,006,KUBANG PASU,05,BUKIT KAYU HITAM,006/05/03,TEMIN,SEKOLAH KEBANGSAAN DATO' WAN KEMARA CHANGLUN,1,299,PAS,DR ISA ISMAIL,117,UMNO,DATO' MOHD JOHARI BIN BAHARUM,171,,,,288,11,0
170,KEDAH,2008,UNDI BIASA,006,KUBANG PASU,05,BUKIT KAYU HITAM,006/05/03,TEMIN,SEKOLAH KEBANGSAAN DATO' WAN KEMARA CHANGLUN,2,470,PAS,DR ISA ISMAIL,214,UMNO,DATO' MOHD JOHARI BIN BAHARUM,249,,,,463,7,0
171,KEDAH,2008,UNDI BIASA,006,KUBANG PASU,05,BUKIT KAYU HITAM,006/05/04,FELDA LAKA SELATAN,SEKOLAH KEBANGSAAN (FELDA) LAKA SELATAN,1,290,PAS,DR ISA ISMAIL,57,UMNO,DATO' MOHD JOHARI BIN BAHARUM,223,,,,280,10,0
172,KEDAH,2008,UNDI BIASA,006,KUBANG PASU,05,BUKIT KAYU HITAM,006/05/04,FELDA LAKA SELATAN,SEKOLAH KEBANGSAAN (FELDA) LAKA SELATAN,2,386,PAS,DR ISA ISMAIL,110,UMNO,DATO' MOHD JOHARI BIN BAHARUM,267,,,,377,9,0
173,KEDAH,2008,UNDI BIASA,006,KUBANG PASU,05,BUKIT KAYU HITAM,006/05/04,FELDA LAKA SELATAN,SEKOLAH KEBANGSAAN (FELDA) LAKA SELATAN,3,328,PAS,DR ISA ISMAIL,90,UMNO,DATO' MOHD JOHARI BIN BAHARUM,235,,,,325,3,0
174,KEDAH,2008,UNDI BIASA,006,KUBANG PASU,05,BUKIT KAYU HITAM,006/05/05,FELDA BATU LAPAN,SEKOLAH KEBANGSAAN BATU LAPAN CHANGLUN,1,284,PAS,DR ISA ISMAIL,106,UMNO,DATO' MOHD JOHARI BIN BAHARUM,161,,,,267,17,0
175,KEDAH,2008,UNDI BIASA,006,KUBANG PASU,05,BUKIT KAYU HITAM,006/05/05,FELDA BATU LAPAN,SEKOLAH KEBANGSAAN BATU LAPAN CHANGLUN,2,359,PAS,DR ISA ISMAIL,130,UMNO,DATO' MOHD JOHARI BIN BAHARUM,221,,,,351,8,0
176,KEDAH,2008,UNDI BIASA,006,KUBANG PASU,05,BUKIT KAYU HITAM,006/05/05,FELDA BATU LAPAN,SEKOLAH KEBANGSAAN BATU LAPAN CHANGLUN,3,330,PAS,DR ISA ISMAIL,124,UMNO,DATO' MOHD JOHARI BIN BAHARUM,202,,,,326,4,0
177,KEDAH,2008,UNDI BIASA,006,KUBANG PASU,05,BUKIT KAYU HITAM,006/05/06,PEKAN BARU CHANGLUN,"SEKOLAH JENIS KEBANGSAAN (CHINA) YIT MIN, CHANGLUN",1,272,PAS,DR ISA ISMAIL,61,UMNO,DATO' MOHD JOHARI BIN BAHARUM,200,,,,261,11,0
178,KEDAH,2008,UNDI BIASA,006,KUBANG PASU,05,BUKIT KAYU HITAM,006/05/06,PEKAN BARU CHANGLUN,"SEKOLAH JENIS KEBANGSAAN (CHINA) YIT MIN, CHANGLUN",2,451,PAS,DR ISA ISMAIL,195,UMNO,DATO' MOHD JOHARI BIN BAHARUM,249,,,,444,7,0
179,KEDAH,2008,UNDI BIASA,006,KUBANG PASU,05,BUKIT KAYU HITAM,006/05/07,PEKAN LAMA CHANGLUN,SEKOLAH JENIS KEBANGSAAN (TAMIL) CHANGLUN,1,244,PAS,DR ISA ISMAIL,77,UMNO,DATO' MOHD JOHARI BIN BAHARUM,158,,,,235,9,0
